***** AT90S4434-A
***** AT90S8535-A
27 (RXD1/INT2)PD2
28 (TXD1/INT3)PD3
29 (ICP1)PD4
30 (XCK1)PD5
31 (T1)PD6
32 (T2)PD7

10 (SS)PB0
11 (SCK)PB1
12 (MOSI)PB2
13 (MISO)PB3
14 (OC0)PB4
15 (OC1A)PB5
16 (OC1B)PB6
17 (OC2/OC1C)PB7

23 XTAL2
24 XTAL1

1o PEN
20o RESET

63 AGND
62 AREF
64 AVCC
22 GND
53 GND
52 VCC
21 VCC
***** ATMEGA1280-A
***** ATMEGA640-A
97 (ADC0)PF0
96 (ADC1)PF1
95 (ADC2)PF2
94 (ADC3)PF3
93 (TCK/ADC4)PF4
92 (TMS/ADC5)PF5
91 (TD0/ADC6)PF6
90 (TDI/ADC7)PF7

78 (AD0)PA0
77 (AD1)PA1
76 (AD2)PA2
75 (AD3)PA3
74 (AD4)PA4
73 (AD5)PA5
72 (AD6)PA6
71 (AD7)PA7

53 (A8)PC0
54 (A9)PC1
55 (A10)PC2
56 (A11)PC3
57 (A12)PC4
58 (A13)PC5
59 (A14)PC6
60 (A15)PC7

2 (PCINT8/RXD0)PE0
3 (TXD0)PE1
4 (XCK0/AIN0)PE2
5 (OC3A/AIN1)PE3
6 (OC3B/INT4)PE4
7 (OC3C/INT5)PE5
8 (T3/INT6)PE6
9 (CLKO/ICP3/INT7)PE7

12 PH0(RXD2)
13 PH1(TXD2)
14 PH2(XCK2)
15 PH3(OC4A)
16 PH4(OC4B)
17 PH5(OC4C)
18 PH6(OC2B)
27 PH7(T4)

51 PG0(WR)
52 PG1(RD)
70 PG2(ALE)
28 PG3(TOSC2)
29 PG4(TOSC1)
1 PG5(OCOB)
---



























---
89 PK0(ADC8/PCINT16)
88 PK1(ADC9/PCINT17)
87 PK2(ADC10/PCINT18)
86 PK3(ADC11/PCINT19)
85 PK4(ADC12/PCINT20)
84 PK5(ADC13/PCINT21)
